SEXO;EDAD;P1;RECUVOTOG1R;ESCIDEOL;NIVELESTENTREV;RELIGION;SITLAB;RELALAB;CNO11;INGRESHOG
2;45;2;1;3;11;2;1;1;2;2
1;64;2;2;5;4;1;2;0;0;4
1;30;4;3;5;15;1;1;1;2;4
1;51;4;3;7;11;1;1;3;2;3
2;28;1;1;3;11;6;1;1;3;3
2;34;4;3;8;10;1;1;1;2;2
1;23;1;2;98;7;2;4;0;0;8
1;75;4;3;8;11;4;1;1;2;1
2;42;2;2;7;11;2;1;1;2;3
1;58;2;2;6;6;2;2;0;0;3
1;53;2;2;6;6;2;1;1;1;1
1;36;2;21;3;13;2;1;1;3;3
1;31;2;1;1;7;4;1;1;3;2
2;55;1;2;8;13;1;7;0;0;5
2;57;2;2;5;4;2;1;1;7;5
2;19;2;21;2;5;5;6;0;0;6
1;36;4;2;5;13;1;1;1;3;4
1;51;4;2;6;7;4;1;1;3;4
2;65;2;2;7;11;1;2;0;0;4
2;61;2;2;6;11;6;4;0;0;1
2;38;1;21;1;13;6;1;9;99;5
2;53;2;2;9;7;2;1;1;5;3
1;52;5;3;5;7;3;1;2;6;6
1;54;2;3;8;4;1;4;0;0;6
2;78;1;1;6;11;2;2;0;0;9
1;65;1;1;3;14;2;2;0;0;3
1;45;2;902;6;13;5;4;0;0;3
1;26;2;2;4;7;2;1;1;3;9
2;78;4;21;2;7;4;2;0;0;3
1;51;2;2;3;6;2;1;1;7;4
1;45;1;21;7;13;4;1;1;2;4
1;66;4;2;8;4;2;2;0;0;9
1;78;1;1;1;2;2;2;0;0;5
1;67;2;1;5;11;2;2;0;0;2
1;52;4;2;6;6;2;1;1;9;4
1;68;2;1;4;11;4;2;0;0;3
1;44;1;21;2;10;6;1;1;3;5
1;50;1;2;7;6;2;1;1;5;4
2;46;1;1;8;14;6;1;1;2;1
1;75;5;3;10;6;1;2;0;0;5
2;31;2;1;3;10;2;1;3;2;2
2;55;1;1;99;11;3;4;0;0;6
1;43;1;1;5;12;2;1;1;2;3
1;35;2;3;8;6;2;1;1;3;5
2;67;2;1;5;4;2;2;0;0;3
1;57;1;1;2;3;4;1;1;7;3
2;53;1;1;1;7;4;1;1;4;5
1;55;1;2;5;13;2;1;1;1;2
2;65;4;2;8;11;1;2;0;0;4
2;60;1;21;3;6;4;1;1;3;5
2;61;2;1;1;5;2;1;1;7;4
1;57;2;3;8;6;2;1;1;10;4
2;73;2;2;4;14;4;2;0;0;4
1;69;2;1;4;10;2;2;0;0;1
2;47;2;21;5;7;5;1;1;4;4
1;44;1;1;4;13;5;1;1;2;4
1;33;4;2;6;7;2;1;1;7;3
1;35;4;1;4;7;4;1;1;3;1
2;64;1;2;10;11;2;2;0;0;1
2;22;2;1;3;6;6;6;0;0;8
2;53;2;3;7;9;5;1;2;5;1
1;31;4;2;5;13;2;1;1;4;2
1;64;1;1;3;9;5;2;0;0;2
1;69;2;902;4;8;2;2;0;0;2
1;40;2;1;3;9;6;1;1;3;4
2;56;4;1;3;4;1;4;0;0;6
2;48;1;1;3;8;2;1;1;3;1
2;36;4;1;7;4;2;6;0;0;6
1;48;2;1;3;7;4;1;1;3;4
2;34;2;3;9;5;2;1;1;4;6
1;53;1;2;7;7;6;1;1;1;1
1;72;1;1;3;9;4;2;0;0;1
1;54;5;3;9;5;2;1;1;5;2
1;34;2;1;5;5;6;1;1;5;3
1;63;4;3;6;11;1;1;3;3;5
1;74;1;1;5;11;6;2;0;0;2
1;53;4;2;8;13;2;1;2;5;1
1;21;2;21;3;6;5;6;0;0;5
1;56;2;21;3;6;5;1;3;6;2
