SEXO Sexo de la persona entrevistada;EDAD Edad de la persona entrevistada;P1 Grado de preocupación por el cambio climático;RECUVOTOG1R Recuerdo de voto en las elecciones generales de 2023 de los votantes [recodificada];ESCIDEOL Escala de autoubicación ideológica (1-10);NIVELESTENTREV Nivel de estudios alcanzado por la persona entrevistada;RELIGION Religiosidad de la persona entrevistada;ECIVIL Estado civil de la persona entrevistada;SITLAB Situación laboral de la persona entrevistada;RELALAB Situación profesional de la persona entrevistada;CNO11 Ocupación de la persona entrevistada;INGRESHOG Nivel de ingresos netos del hogar
Mujer;69;Mucho;PSOE;5;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Católico/a no practicante;Viudo/a;Pensionista (anteriormente no ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;52;Mucho;Sumar;1 Izquierda;Doctorado;Ateo/a (niegan la existencia de Dios) ;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 3.901 a 5.000 €
Mujer;26;Mucho;PSOE;1 Izquierda;Máster oficial universitario (especialidades médicas o equivalente) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Estudiante ;N.P.;N.P.;De 1.100 a 1.800 €
Mujer;55;Mucho;PSOE;1 Izquierda;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Católico/a no practicante;Soltero/a;En paro y ha trabajado antes ;N.P.;N.P.;Menos de 1.100 €
Mujer;35;Poco;PP;10 Derecha;Máster oficial universitario (especialidades médicas o equivalente) ;Católico/a practicante;Casado/a;En paro y ha trabajado antes ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;32;Mucho;Sumar;1 Izquierda;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;En paro y ha trabajado antes ;N.P.;N.P.;De 1.100 a 1.800 €
Mujer;57;Mucho;PP;5;Otros estudios ;Católico/a no practicante;Separado/a;En paro y busca su primer empleo ;N.P.;N.P.;Menos de 1.100 €
Hombre;59;Poco;VOX;5;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a no practicante;Casado/a;Otra situación;N.P.;N.P.;De 3.901 a 5.000 €
Hombre;63;Bastante;PSOE;4;"FP de Grado Medio (ciclo/módulo formativo de FP (grado medio), de Artes Plásticas y Diseño, Música y Danza, enseñanzas deportivas, FP I, Bachiller Laboral Elemental. Oficialía Industrial; Bachillerato Comercial) ";Católico/a no practicante;Viudo/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.100 a 1.800 €
Mujer;43;Bastante;PSOE;4;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;N.C.
Mujer;51;Mucho;PP;5;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;En paro y ha trabajado antes ;N.P.;N.P.;Menos de 1.100 €
Hombre;78;Mucho;PP;10 Derecha;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Católico/a practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.100 a 1.800 €
Hombre;52;Poco;VOX;7;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;Más de 5.000 €
Hombre;50;Bastante;PP;5;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 2.701 a 3.900 €
Hombre;68;Mucho;PSOE;3;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Indiferente, no creyente;Divorciado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
Hombre;55;Mucho;PSOE;4;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Indiferente, no creyente;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;De 3.901 a 5.000 €
Mujer;60;Mucho;PSOE;5;Títulos propios de posgrado (máster no oficial, etc.) ;Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;De 1.801 a 2.700 €
Mujer;78;Mucho;PSOE;3;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Indiferente, no creyente;Viudo/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
Hombre;41;Mucho;Sumar;3;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Ateo/a (niegan la existencia de Dios) ;Casado/a;Otra situación;N.P.;N.P.;De 1.100 a 1.800 €
Hombre;24;Poco;VOX;7;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Ateo/a (niegan la existencia de Dios) ;Soltero/a;Estudiante ;N.P.;N.P.;N.S.
Hombre;18;Mucho;PSOE;3;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Estudiante ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;26;Mucho;Sumar;3;Títulos propios de posgrado (máster no oficial, etc.) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 3.901 a 5.000 €
Mujer;33;Bastante;Sumar;1 Izquierda;"FP de Grado Medio (ciclo/módulo formativo de FP (grado medio), de Artes Plásticas y Diseño, Música y Danza, enseñanzas deportivas, FP I, Bachiller Laboral Elemental. Oficialía Industrial; Bachillerato Comercial) ";Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 2.701 a 3.900 €
Hombre;35;Nada;VOX;7;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Católico/a practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;De 3.901 a 5.000 €
Hombre;50;Mucho;PSOE;4;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 2.701 a 3.900 €
Mujer;64;Bastante;VOX;7;"Arquitectura/Ingeniería Técnica (aparejador/a; peritos/as) ";Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Casado/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Técnicos/as y profesionales de nivel medio;De 2.701 a 3.900 €
Mujer;38;Bastante;PP;10 Derecha;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Católico/a no practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Directores/as y gerentes;De 1.801 a 2.700 €
Hombre;50;Bastante;PP;6;"FP de Grado Medio (ciclo/módulo formativo de FP (grado medio), de Artes Plásticas y Diseño, Música y Danza, enseñanzas deportivas, FP I, Bachiller Laboral Elemental. Oficialía Industrial; Bachillerato Comercial) ";Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;De 2.701 a 3.900 €
Hombre;55;Bastante;PP;5;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a no practicante;Viudo/a;Trabaja;Asalariado/a por cuenta ajena;Ocupaciones militares y cuerpos policiales;De 2.701 a 3.900 €
Hombre;58;Mucho;PP;7;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a no practicante;Casado/a;Trabaja;Empresario/a o profesional con asalariados/as;Oficiales/as, operarios/as, artesanos/as y trabajadores/as de artes mecánicas y de otros oficios;De 1.801 a 2.700 €
Mujer;45;Bastante;PP;6;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Indiferente, no creyente;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 1.801 a 2.700 €
Hombre;42;Mucho;PSOE;1 Izquierda;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Indiferente, no creyente;Soltero/a;En paro y ha trabajado antes ;N.P.;N.P.;De 1.100 a 1.800 €
Mujer;38;Poco;PP;8;Máster oficial universitario (especialidades médicas o equivalente) ;Católico/a practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;Más de 5.000 €
Hombre;32;Bastante;PP;7;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Católico/a no practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 3.901 a 5.000 €
Hombre;63;Bastante;PP;6;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Divorciado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 1.801 a 2.700 €
Mujer;64;Mucho;PSOE;1 Izquierda;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;Más de 5.000 €
Hombre;50;(NO LEER) Regular;PP;10 Derecha;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 2.701 a 3.900 €
Hombre;60;Mucho;Sumar;5;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Ateo/a (niegan la existencia de Dios) ;Divorciado/a;Trabaja;Asalariado/a por cuenta ajena;Directores/as y gerentes;De 1.801 a 2.700 €
Mujer;19;Poco;PP;7;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;En paro y busca su primer empleo ;N.P.;N.P.;De 2.701 a 3.900 €
Mujer;35;Mucho;PSOE;3;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Ateo/a (niegan la existencia de Dios) ;Casado/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Profesionales, científicos e intelectuales;De 3.901 a 5.000 €
Mujer;50;Mucho;Sumar;1 Izquierda;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Ateo/a (niegan la existencia de Dios) ;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 2.701 a 3.900 €
Mujer;65;Mucho;PSOE;3;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Indiferente, no creyente;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 3.901 a 5.000 €
Hombre;51;Bastante;Sumar;3;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Indiferente, no creyente;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Oficiales/as, operarios/as, artesanos/as y trabajadores/as de artes mecánicas y de otros oficios;De 1.801 a 2.700 €
Hombre;29;Bastante;PSOE;4;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Indiferente, no creyente;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 2.701 a 3.900 €
Hombre;68;Bastante;PSOE;6;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;43;Bastante;PP;10 Derecha;Máster oficial universitario (especialidades médicas o equivalente) ;Católico/a practicante;Divorciado/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Profesionales, científicos e intelectuales;De 2.701 a 3.900 €
Hombre;60;Mucho;PSOE;2;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Indiferente, no creyente;Casado/a;En paro y ha trabajado antes ;N.P.;N.P.;De 1.801 a 2.700 €
Hombre;38;Bastante;Sumar;4;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 2.701 a 3.900 €
Mujer;79;Mucho;PP;8;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a no practicante;Viudo/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;84;Mucho;VOX;10 Derecha;Educación Primaria (Educación Primaria de LOGSE, 5º curso de EGB, enseñanza primaria antigua) ;Católico/a practicante;Viudo/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;Menos de 1.100 €
Hombre;41;Mucho;Sumar;5;Máster oficial universitario (especialidades médicas o equivalente) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 2.701 a 3.900 €
Hombre;62;Mucho;PP;6;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
Hombre;49;Bastante;Sumar;7;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Oficiales/as, operarios/as, artesanos/as y trabajadores/as de artes mecánicas y de otros oficios;De 1.100 a 1.800 €
Mujer;50;Mucho;PP;6;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Católico/a no practicante;Soltero/a;Trabaja;Empresario/a o profesional con asalariados/as;Directores/as y gerentes;Menos de 1.100 €
Hombre;24;Bastante;PP;6;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a no practicante;Soltero/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Oficiales/as, operarios/as, artesanos/as y trabajadores/as de artes mecánicas y de otros oficios;De 1.100 a 1.800 €
Hombre;66;Mucho;PP;5;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Ocupaciones elementales;De 2.701 a 3.900 €
Hombre;75;Nada;VOX;10 Derecha;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Creyente de otra religión;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;Más de 5.000 €
Mujer;61;Bastante;PSOE;1 Izquierda;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a practicante;Divorciado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;Menos de 1.100 €
Hombre;26;Nada;VOX;7;Títulos propios de posgrado (máster no oficial, etc.) ;Católico/a no practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 1.801 a 2.700 €
Hombre;58;Poco;PP;8;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Ocupaciones elementales;Más de 5.000 €
Hombre;62;Mucho;Sumar;6;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Católico/a practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 3.901 a 5.000 €
Hombre;53;Bastante;PP;6;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a practicante;Casado/a;Trabaja;Empresario/a o profesional con asalariados/as;Agricultores/as y trabajadores/as cualificados/as agropecuarios, forestales y pesqueros/as;De 1.801 a 2.700 €
Mujer;61;Bastante;PSOE;5;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;26;Bastante;Sumar;3;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Ateo/a (niegan la existencia de Dios) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 1.801 a 2.700 €
Mujer;44;Bastante;VOX;5;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Ateo/a (niegan la existencia de Dios) ;Casado/a;En paro y ha trabajado antes ;N.P.;N.P.;De 1.100 a 1.800 €
Mujer;20;Bastante;Sumar;3;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Indiferente, no creyente;Soltero/a;Estudiante ;N.P.;N.P.;De 1.100 a 1.800 €
Mujer;53;Bastante;PSOE;5;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Indiferente, no creyente;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;Más de 5.000 €
Hombre;51;Bastante;PSOE;4;"FP de Grado Medio (ciclo/módulo formativo de FP (grado medio), de Artes Plásticas y Diseño, Música y Danza, enseñanzas deportivas, FP I, Bachiller Laboral Elemental. Oficialía Industrial; Bachillerato Comercial) ";Ateo/a (niegan la existencia de Dios) ;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;Más de 5.000 €
Mujer;65;Bastante;PP;6;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a no practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Ocupaciones elementales;De 2.701 a 3.900 €
Mujer;68;Bastante;PSOE;1 Izquierda;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Católico/a no practicante;Divorciado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.100 a 1.800 €
Mujer;63;Bastante;VOX;10 Derecha;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Católico/a practicante;Casado/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Técnicos/as y profesionales de nivel medio;De 1.801 a 2.700 €
Mujer;51;Mucho;PSOE;3;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Profesionales, científicos e intelectuales;De 1.100 a 1.800 €
Hombre;36;Mucho;PSOE;4;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;Más de 5.000 €
Hombre;61;Nada;PP;5;Educación secundaria (ESO, EGB. Graduado Escolar. Certificado de Escolaridad, Bachillerato Elemental) ;Indiferente, no creyente;Divorciado/a;Trabaja;Profesional o trabajador/a autónomo/a (sin asalariados/as);Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 1.100 a 1.800 €
Hombre;39;Bastante;PP;5;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Católico/a no practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;Menos de 1.100 €
Hombre;43;Mucho;Sumar;3;Máster oficial universitario (especialidades médicas o equivalente) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;De 2.701 a 3.900 €
Hombre;30;Bastante;PSOE;6;Títulos propios de posgrado (máster no oficial, etc.) ;Católico/a practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Técnicos/as y profesionales de nivel medio;De 1.801 a 2.700 €
Hombre;47;Bastante;VOX;6;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan) ;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Ocupaciones militares y cuerpos policiales;De 1.801 a 2.700 €
Mujer;47;Mucho;PSOE;2;"Licenciatura (titulaciones con equivalencia oficial: 2º ciclo INEF; Danza y Arte Dramático (desde 1992); Grado Superior de Música) ";Ateo/a (niegan la existencia de Dios) ;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 1.801 a 2.700 €
Mujer;24;Bastante;PSOE;3;Grado (estudios de grado, enseñanzas artísticas equivalentes (desde 2006)) ;Indiferente, no creyente;Soltero/a;Estudiante ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;44;Mucho;PP;7;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Católico/a no practicante;Viudo/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 1.100 a 1.800 €
Mujer;20;Bastante;PSOE;6;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Soltero/a;Estudiante ;N.P.;N.P.;N.S.
Mujer;46;Bastante;PP;8;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Católico/a practicante;Soltero/a;Trabaja;Asalariado/a por cuenta ajena;Profesionales, científicos e intelectuales;De 1.100 a 1.800 €
Mujer;70;Bastante;PP;9;Diplomatura (ATENCIÓN: sólo diplomaturas oficiales, no codificar aquí los tres primeros años de una licenciatura o grado con mayor duración) ;Católico/a practicante;Viudo/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 2.701 a 3.900 €
Hombre;55;Poco;PP;5;"FP de Grado Superior (ciclo/módulo formativo de FP (grado superior) de Artes Plásticas, Diseño, Música y Danza, Deporte, FP II, Bachillerato Laboral Superior, Maestría industrial, perito/a mercantil; Secretariado de 2º grado; Grado Medio conservatorio) ";Ateo/a (niegan la existencia de Dios) ;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 1.801 a 2.700 €
Hombre;66;Mucho;PSOE;5;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Jubilado/a o pensionista (anteriormente ha trabajado) ;N.P.;N.P.;De 1.100 a 1.800 €
Mujer;70;Poco;PP;7;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Trabajo doméstico no remunerado ;N.P.;N.P.;De 1.801 a 2.700 €
Mujer;55;Mucho;Sumar;10 Derecha;Otros estudios ;Católico/a practicante;Casado/a;Trabaja;Asalariado/a por cuenta ajena;Trabajadores/as de los servicios y vendedores/as de comercios y mercados;De 1.100 a 1.800 €
Mujer;55;Bastante;PSOE;5;Bachillerato (Bachillerato LOGSE, BUP, Bachillerato Superior (6º), Bachillerato Universitario (7º), incluidos COU y PREU) ;Católico/a no practicante;Casado/a;Trabajo doméstico no remunerado ;N.P.;N.P.;De 1.801 a 2.700 €
